Date,Open,High,Low,Close,Volume,AdrActCnt,FeeTotNtv,HashRate,SplyCur,TxCnt,DXY_Close,TNX_Yield,FeeTotUSD,True_Market_Cap,Fee_to_MCap,Log_Return,Target_Next_Log_Return,Rolling_Volatility,log_True_Market_Cap,log_FeeTotUSD,log_AdrActCnt,log_HashRate,log_Fee_to_MCap,Split
2026-02-06,62704.453125,71681.3046875,60074.203125,70555.390625,114674259489,856992.0,5.74597668,1021142169.0515816,19985176.15703973,407706.0,97.62999725341795,4.205999851226807,405409.6291795406,1410061910469.3745,2.875119355891188e-07,0.118003181433477,-0.018213402812750957,0.04262448532991218,27.974654727489707,12.912655731648778,13.661185029518554,20.744187612323067,2.8751189425757017e-07,Test
2026-02-07,70553.796875,71611.1484375,67364.4453125,69281.96875,62347107663,645574.0,2.7410227,1112468740.242983,19985694.90702132,493708.0,97.62999725341795,4.205999851226807,189903.4490444406,1384648289995.2854,1.3714923162551784e-07,-0.018213402812750957,0.01408523588474713,0.042646521063849405,27.956467281078112,12.154276324880023,13.37789667152019,20.829847473850805,1.3714922222056282e-07,Test
2026-02-08,69283.7265625,72206.90625,68852.8984375,70264.7265625,39721722619,555675.0,2.20456314,1063649664.9870174,19986226.15697003,512816.0,97.62999725341795,4.205999851226807,154903.0262218664,1404326715935.7844,1.1030412258350117e-07,0.01408523588474713,-0.0020507154219692207,0.04285329960256028,27.97057909811955,11.950561018461395,13.22794066956443,20.784971912357065,1.1030411650000188e-07,Test
2026-02-09,70243.328125,71369.96875,68291.03125,70120.78125,52081598792,682068.0,2.92519453,1019852317.996721,19986735.53196145,394855.0,96.81999969482422,4.197999954223633,205116.92575182655,1401485510138.271,1.4635679375064656e-07,-0.0020507154219692207,-0.01910323758989731,0.042849766383685414,27.968553868674597,12.231340340298972,13.432886104728482,20.742923668462854,1.4635678304049206e-07,Test
2026-02-10,70137.390625,70464.265625,67913.09375,68793.9609375,40593063077,624916.0,2.58446884,900973830.4794544,19987185.53194323,390874.0,96.8000030517578,4.146999835968018,177795.84842314594,1374997660735.068,1.2930629156714134e-07,-0.01910323758989731,-0.026543221212374526,0.042816134090859936,27.949473145762777,12.088396876500715,13.345374119899837,20.61898677128785,1.2930628320708357e-07,Test
2026-02-11,68791.859375,69242.6796875,65757.3046875,66991.96875,49671946030,659141.0,2.94451038,982311747.7332362,19987676.15693549,451472.0,96.83000183105467,4.171999931335449,197258.54736101063,1339013776490.5425,1.4731629414449408e-07,-0.026543221212374526,-0.01156236827483507,0.04285285307920895,27.922954471226586,12.192275639873955,13.39869426826956,20.70541927900647,1.4731628329344987e-07,Test
2026-02-12,66992.1953125,68339.4921875,65092.109375,66221.84375,44651071271,653355.0,2.54254112,1107447002.9675756,19988229.28192297,494350.0,96.93000030517578,4.104000091552734,168371.76077659,1323657396346.6775,1.272019188963093e-07,-0.01156236827483507,0.03903376935715579,0.04159554715703688,27.911419775870304,12.033935614598784,13.389877435814322,20.82532320679061,1.272019108061459e-07,Test
2026-02-13,66213.375,69382.8359375,65835.78125,68857.84375,40820775886,684978.0,2.80407017,944771168.4600128,19988701.15689779,520762.0,96.87999725341795,4.056000232696533,193082.22562989595,1376378861027.1123,1.402827601448411e-07,0.03903376935715579,0.013125933067848304,0.04232249454028278,27.95047715259146,12.170876595818308,13.437143459840122,20.66645330741572,1.4028275030521562e-07,Test
2026-02-14,68856.984375,70481.1640625,68706.6171875,69767.625,36012397645,583422.0,2.12108481,1038622612.1382018,19989219.90687007,550168.0,96.87999725341795,4.056000232696533,147983.0496172763,1394600398505.046,1.0611143505760357e-07,0.013125933067848304,-0.014138040068878806,0.042553165413442076,27.963629037482633,11.9048597740821,13.276667759704472,20.761161261849008,1.0611142942778564e-07,Test
2026-02-15,69764.953125,70939.2890625,68052.546875,68788.1875,40191152750,532309.0,1.93598617,1232582258.2019153,19989835.53185801,691973.0,96.87999725341795,4.056000232696533,133172.9796593669,1375064554659.6108,9.68485291894773e-08,-0.014138040068878806,0.0007987824782500607,0.042513724961698404,27.9495217947891,11.799411670102888,13.184981305383033,20.932377203399962,9.68485244996588e-08,Test
2026-02-16,68782.3984375,70067.234375,67301.5859375,68843.15625,33618145426,592609.0,2.11548926,1094933476.5431678,19990382.40684522,529377.0,96.87999725341795,4.056000232696533,145636.95767137688,1376201019531.6963,1.0582535225917454e-07,0.0007987824782500607,-0.019788873300286218,0.042552216569888494,27.950347934546297,11.888879079061251,13.292291788768289,20.813959447267322,1.0582534665967234e-07,Test
2026-02-17,68843.09375,69201.8671875,66615.28125,67494.21875,34866936040,595445.0,2.32070356,1032365844.4211287,19990898.03180826,661420.0,97.16000366210938,4.052000045776367,156634.07373254377,1349270044767.8113,1.1608800946848122e-07,-0.019788873300286218,-0.015963632260214883,0.042575742489682586,27.93058485456517,11.961674007656303,13.297065983565048,20.755118942562078,1.1608800273026877e-07,Test
2026-02-18,67488.0234375,68434.4296875,65845.8984375,66425.3203125,33094301643,595919.0,2.28936243,957284694.8844204,19991376.15677497,505310.0,97.6999969482422,4.078999996185303,152071.63272415337,1327933564701.4526,1.1451750054856267e-07,-0.015963632260214883,0.007980125994704771,0.042585622623598156,27.91464513915194,11.932113532565385,13.297861708850158,20.679611393038996,1.145174939914342e-07,Test
2026-02-19,66425.625,67277.125,65637.4296875,66957.5234375,31492987019,616639.0,2.40168653,1025228859.3917795,19991873.03175161,502602.0,97.93000030517578,4.074999809265137,160810.98212200304,1338606307083.0327,1.2013314241169798e-07,0.007980125994704771,0.015528995656632263,0.04216878641723406,27.922650119303654,11.987991148634945,13.332040664208138,20.748181703044867,1.2013313519571262e-07,Test
2026-02-20,66958.578125,68269.03125,66452.484375,68005.421875,47507867304,662947.0,2.68591022,983397437.0251604,19992301.15670826,417965.0,97.8000030517578,4.085999965667725,182656.45762947403,1359584874413.9956,1.343472269123339e-07,0.015528995656632263,-2.4354972344490844e-05,0.042234924181988105,27.938200529680742,12.115367861554006,13.40445183471955,20.7065239077172,1.34347217887746e-07,Test
2026-02-21,68000.25,68657.703125,67533.0703125,68003.765625,18357635642,579813.0,2.04690813,854191934.5012189,19992673.03170125,344028.0,97.8000030517578,4.085999965667725,139197.46072842702,1359577051065.0698,1.0238291431837726e-07,-2.4354972344490844e-05,-0.005076923598302017,0.04222724581413837,27.93819477544533,11.84365596883588,13.270462641435506,20.565666475331078,1.0238290907724703e-07,Test
2026-02-22,67998.828125,68235.2265625,67185.6015625,67659.390625,17893536012,525709.0,1.86438709,1177205690.811073,19993185.53166242,538994.0,97.8000030517578,4.085999965667725,126143.29439851704,1352726749724.846,9.325112734273604e-08,-0.005076923598302017,-0.04601267313564273,0.04219589684670594,27.93314348590765,11.745181724338602,13.172505008882657,20.88640940935359,9.325112299484994e-08,Test
2026-02-23,67668.4296875,67668.4296875,63924.4375,64616.73828125,50953457309,684644.0,2.62265424,1062356356.3827294,19993648.03163321,448909.0,97.6999969482422,4.02899980545044,169467.36262829063,1291924322147.4724,1.311743727733195e-07,-0.04601267313564273,-0.00834051043874472,0.042709211894435266,27.887153945384934,12.040421537220618,13.43665573473218,20.783755256571894,1.3117436416996222e-07,Test
2026-02-24,64616.015625,64992.15625,62553.1875,64080.04296875,40849331086,661423.0,2.81382024,1184383769.690652,19994163.65658282,568326.0,97.87999725341795,4.0329999923706055,180309.72188553849,1281226866238.0469,1.4073208003744562e-07,-0.00834051043874472,0.05878816281087323,0.04257204414857329,27.87883922405182,12.102436874342558,13.402150365536135,20.89248845154012,1.4073207013468738e-07,Test
2026-02-25,64077.76953125,69953.53125,63942.484375,67960.125,53629234355,650235.0,2.78948514,1119781018.4286811,19994651.15653541,481942.0,97.6999969482422,4.047999858856201,189573.7588000425,1358838991929.541,1.395115682770107e-07,0.05878816281087323,-0.007478610812400483,0.044091429171506616,27.93765176867816,12.152538731248889,13.38509065289842,20.836398984769957,1.3951155854527275e-07,Test
2026-02-26,67954.8671875,68843.3515625,66523.734375,67453.7734375,42988597523,693519.0,3.46160026,1004931684.0003374,19995088.65651923,429268.0,97.79000091552734,4.017000198364258,233497.9996692311,1348744180099.5745,1.731225262095237e-07,-0.007478610812400483,-0.023580345399758597,0.04395950120033272,27.930195038477436,12.360933072010097,13.449535357542523,20.728185401022994,1.731225112238209e-07,Test
2026-02-27,67456.515625,68220.40625,64946.03515625,65881.796875,40283655942,704075.0,3.01728646,1012109773.2163564,19995529.28146219,411023.0,97.61000061035156,3.961999893188477,198784.2536714078,1317341398529.4067,1.5089805413639733e-07,-0.023580345399758597,0.016768637200983844,0.04399107956457198,27.906636729493517,12.199980393750202,13.464641583858961,20.73530287447477,1.5089804275128712e-07,Test
2026-02-28,65878.9296875,67714.5234375,63062.21875,66995.859375,42041497112,640533.0,2.52109497,1026465941.3119544,19995976.15645449,426230.0,97.61000061035156,3.961999893188477,168902.92408113985,1339647606643.678,1.2608011483281438e-07,0.016768637200983844,-0.018952127255243773,0.04347774077016159,27.923427715190122,12.037085335688468,13.370057482438538,20.74938761541396,1.2608010688471738e-07,Test
2026-03-01,67005.8828125,68162.8203125,65076.73046875,65738.1015625,40733141929,602506.0,2.57722487,1069534435.2623082,19996441.78136143,464241.0,97.61000061035156,3.961999893188477,169421.87025346083,1314528120711.756,1.28884173403401e-07,-0.018952127255243773,0.04517399874225875,0.04352211287477192,27.904498873594072,12.040153059486826,13.308854562536718,20.790489284437108,1.2888416509783664e-07,Test
2026-03-02,65734.078125,70044.0,65303.13671875,68775.8515625,56698092052,690831.0,2.67195108,976219347.8091414,19996866.78083916,420983.0,98.37999725341795,4.047999858856201,183765.71086034155,1375301541434.0813,1.3361848680015424e-07,0.04517399874225875,-0.007035921401254354,0.04307934128244494,27.9496941258656,12.121422356397618,13.445651947285427,20.69919786175884,1.3361847787320503e-07,Test
